206	576	595	589	2300	5567	4850	8267	20038	34753	56110	33944	15627	4750	2119	1630	1140	1777	2859	3904	2421	1259	747	423	356
351	457	636	652	2275	5421	4879	11500	37786	62300	64781	42655	20951	6434	2705	1198	961	1351	2019	2355	2031	1133	688	553	488
413	857	1118	742	4078	9511	4879	9717	30673	49796	56284	42078	21281	8150	3327	1312	1195	1114	1431	1396	1380	777	697	556	404
347	640	807	793	1716	4735	6628	11101	31179	53808	72350	51000	20519	9618	3684	1846	1424	1162	1433	1410	912	1107	553	619	483
686	597	1122	1650	2202	6837	10489	22911	52162	59419	38222	27198	16650	7663	3860	1971	1400	1276	1467	1660	1656	1133	806	748	461
803	694	1578	3244	4108	6141	15925	31198	48138	72287	58657	41170	22600	11315	5771	4353	2410	2087	2470	2529	2247	1292	1230	968	611
959	1041	987	3120	3647	4354	8473	19440	35223	41194	34524	18110	11717	12426	13737	14056	8273	3602	2900	2653	1710	1410	891	692	570
600	974	720	1387	2422	3133	3818	5318	6446	10053	13104	13078	16158	25255	36698	29721	16000	6885	3240	1622	1408	710	734	620	526
701	750	805	1095	1958	3067	3172	4167	5463	10051	8890	12791	27404	50481	60979	43852	18624	7950	3183	1400	818	765	643	510	618
623	482	750	1442	3110	3347	3568	2407	4770	7921	7600	12682	34055	58303	60865	39667	21082	9067	4549	2059	1310	1127	842	660	556
537	821	700	1855	2920	3618	3885	2330	3210	4348	5007	12400	32044	44732	43031	31553	18333	10152	5820	4598	3282	2115	1586	1078	662
486	636	639	2804	2693	3375	3000	2019	2193	3667	4915	8463	16208	23330	24660	19971	12644	13368	15495	16896	13528	6957	3134	2316	1493
556	684	899	1694	2738	1923	2883	2080	2138	2208	4379	6684	12938	16520	20059	13883	11011	9000	10272	13610	10160	11676	9340	5363	3548
532	636	809	1080	1821	4698	3812	2393	2194	3263	5889	7878	9798	10740	8500	6833	5763	8510	12019	13455	11257	11360	10722	8215	4941
316	371	1141	1122	1526	2117	2526	1895	3031	5120	7089	7418	5677	5510	5264	4043	2713	5486	9643	10549	12091	13019	9727	6750	5000
342	429	635	739	1217	1943	2196	2040	3957	5971	7435	7646	4674	5137	5600	5269	4939	4757	6424	6500	8553	9170	7941	6000	5159
352	351	513	512	1020	1991	2490	2316	3794	6542	7474	7864	5056	6913	10509	12077	9475	6898	6353	5437	5029	5181	5457	3910	2770
387	469	424	705	972	1653	1495	2400	4022	7505	9990	10183	7667	16465	28670	28245	20300	11032	6681	4283	4092	3170	3242	1743	1330
247	358	293	547	848	1021	1471	2446	4704	6917	9677	9184	14146	32433	32537	27060	25300	11588	5981	3000	2250	1667	1307	1055	802
412	205	414	615	710	674	973	2082	3179	4722	4258	6694	21624	43159	40772	37969	25624	12146	5333	1909	1273	861	847	327	380
377	377	442	359	337	571	648	1202	2033	2720	2098	5531	14758	20030	23229	27989	15234	7990	3317	1564	1030	357	384	385	297
324	417	392	337	452	557	970	1298	1908	2871	2700	6543	20418	29295	30020	27972	16221	8250	3163	1211	510	429	451	333	438
409	393	402	263	396	323	419	612	784	913	1312	3875	6055	6463	7272	7446	5494	2628	844	622	385	340	324	311	384
415	329	221	368	450	215	347	447	541	778	1782	4220	5510	4611	4059	3723	2087	875	408	376	340	292	362	350	222
618	469	322	368	427	315	333	380	534	596	1173	2615	2716	2106	1591	1133	616	377	340	272	313	340	265	304	358
1050	744	486	356	278	356	337	213	330	392	533	1151	759	625	537	472	265	274	304	354	365	389	345	349	313
