353	160	281	355	280	231	292	208	48	250	235	444	59	250	235	278	200	167	211	0	526	250	53	0	556	316	250	56	450	1000	1800	1750	304	304	240	259	200	273	205	280
113	206	333	179	143	182	560	136	455	150	333	111	353	167	118	211	118	611	0	300	294	1368	1056	632	353	750	211	278	222	636	895	905	409	130	154	207	161	257	359	220
280	135	147	310	222	261	174	227	208	190	150	294	333	59	111	947	1556	235	0	278	200	765	444	167	278	158	278	444	158	158	300	750	250	348	222	148	156	265	71	118
184	108	212	250	231	348	38	217	136	143	111	50	312	250	167	400	176	111	118	105	56	278	59	100	222	200	167	158	59	150	368	286	167	136	185	241	65	53	293	218
240	405	152	250	375	154	125	200	130	167	150	294	105	333	316	158	105	471	211	222	211	0	421	0	111	368	0	316	167	211	56	238	208	130	37	107	281	171	349	269
212	400	212	71	125	192	120	250	130	550	294	263	412	150	59	286	278	176	529	53	333	222	222	167	211	278	368	111	211	316	250	50	208	174	240	321	303	139	286	226
412	86	265	321	174	154	80	292	167	211	158	368	389	56	353	222	150	111	176	158	421	53	333	444	111	421	222	111	235	333	316	1750	478	364	111	393	242	343	200	278
407	323	167	367	259	91	160	250	273	300	56	389	294	300	235	316	500	278	222	278	53	611	389	389	211	0	350	235	222	316	3667	11947	1083	217	80	67	188	294	225	426
211	206	161	467	280	308	304	280	273	200	316	235	105	211	56	474	389	158	59	158	111	500	294	263	250	100	222	56	0	238	737	421	318	348	308	222	212	294	268	250
263	206	345	125	120	333	250	200	304	190	167	111	105	111	316	222	56	176	444	158	50	188	278	167	176	222	211	211	235	250	368	263	304	182	200	200	323	265	244	192
357	375	156	258	259	346	227	80	273	143	263	167	333	0	222	250	529	111	0	211	263	211	235	222	176	250	56	474	294	286	263	450	125	174	346	679	219	265	225	130
271	250	241	188	240	308	167	360	261	200	211	222	222	222	158	167	158	250	158	235	150	176	278	556	0	421	421	235	333	211	158	158	130	455	808	3000	906	294	98	146
127	281	219	323	160	231	130	115	318	429	211	474	125	105	611	211	118	471	111	111	0	474	353	105	312	800	474	111	353	238	158	53	261	227	480	500	594	83	256	151
185	167	133	138	308	280	174	160	125	350	316	278	278	765	1263	444	389	125	56	167	200	471	211	444	176	368	150	444	222	316	105	211	87	182	308	267	97	176	75	231
220	281	156	312	280	120	348	308	238	136	222	53	294	111	722	350	188	368	59	333	222	200	118	526	176	105	0	263	59	300	650	474	409	333	250	233	182	303	233	260
259	206	182	167	222	77	333	154	125	400	158	56	167	353	53	278	278	500	59	222	368	0	333	556	333	278	250	278	176	211	143	211	667	227	423	250	91	265	275	170
351	88	214	265	154	208	360	292	182	524	176	474	500	167	222	316	235	176	278	200	368	111	278	0	111	211	421	421	176	105	286	600	409	609	280	111	242	182	289	160
125	344	114	200	231	160	125	375	174	238	167	1059	167	118	1050	1889	278	235	222	333	211	222	211	111	167	1053	1056	789	167	368	429	211	261	136	185	222	265	344	114	160
309	185	300	467	160	400	333	240	409	333	105	222	188	250	667	421	333	294	882	1895	222	111	167	316	111	579	381	500	105	263	200	238	87	261	120	241	441	242	175	77
213	147	200	258	320	346	208	125	154	316	105	471	105	222	111	263	111	125	1789	2278	368	111	333	56	421	158	263	211	167	2053	1789	364	348	174	38	286	471	294	364	132
180	167	222	94	357	261	208	240	273	250	158	158	278	211	278	368	294	389	294	211	222	368	167	368	421	368	294	0	684	737	1150	421	217	250	240	286	176	324	140	170
