188	130	189	237	270	235	167	103	192	310	185	240	241	393	206	440	226	194	346	250	222	286	222	154	419	77	233	250	200	100	273	244	217	167	125	156	105	366	250	200
257	250	175	114	108	194	267	231	300	286	133	154	172	276	267	36	452	143	107	276	185	250	111	276	214	185	200	241	250	636	303	125	146	318	292	194	359	159	275	188
299	204	179	229	265	219	200	241	233	179	69	259	194	214	310	433	321	69	207	179	115	207	143	74	194	154	276	138	74	250	211	200	156	238	40	324	225	302	265	154
227	277	366	333	273	242	484	310	200	310	310	333	296	414	226	148	267	296	241	179	148	345	222	154	258	138	296	323	269	333	150	270	178	364	77	312	250	333	135	323
182	261	128	194	281	114	276	233	138	200	172	222	148	310	219	179	179	276	233	111	107	179	154	107	355	259	393	214	200	556	211	175	182	174	292	194	250	214	288	266
239	250	222	108	61	147	133	133	355	241	393	310	214	172	133	357	241	464	241	138	185	321	214	276	214	259	333	97	120	357	289	132	356	227	240	294	425	186	226	182
212	217	179	235	294	324	133	310	118	240	233	107	241	207	233	200	222	286	400	207	280	207	333	172	321	143	276	138	333	286	333	139	244	238	185	188	225	432	154	294
333	170	216	206	273	312	303	167	226	207	207	222	276	250	129	138	107	321	143	276	111	286	100	308	250	167	276	296	107	364	216	400	156	182	320	242	300	222	130	277
130	292	333	212	278	364	242	226	300	481	194	250	519	483	67	276	296	241	241	250	148	379	259	207	296	429	167	310	280	214	282	158	302	250	240	86	359	213	204	179
127	267	54	118	361	235	310	290	367	133	172	154	414	103	179	286	286	138	214	321	357	690	630	393	690	519	448	267	321	100	200	205	298	190	261	303	250	167	132	231
88	196	179	344	194	212	258	310	469	259	345	593	226	296	241	241	345	321	379	793	1207	1654	2536	3828	3207	5667	3481	1133	692	786	263	359	227	143	200	406	286	156	204	254
224	311	184	333	441	212	250	367	375	107	214	222	276	321	400	500	586	852	800	2107	4074	5519	14862	9143	13414	36111	40000	20926	10964	3083	2028	368	422	273	120	312	250	114	189	269
273	356	263	265	294	303	387	161	290	464	133	231	321	552	290	1607	4893	7926	1806	2679	3308	4310	15571	9000	23000	85207	51321	42964	32750	33214	15359	2297	773	667	115	375	381	356	226	232
235	239	135	303	294	294	200	323	290	241	300	192	700	793	533	741	1929	5467	2370	4067	9462	8276	8963	9889	19484	57192	64414	52690	37071	85077	47921	13632	4326	1864	708	182	341	395	204	215
156	167	194	206	324	273	267	333	484	379	310	630	484	379	1276	2107	4069	3862	3034	8926	6655	7192	7107	15034	18233	14724	24857	29633	41440	162312	139500	44311	16625	4636	3000	1471	310	200	273	197
172	261	263	176	343	219	156	167	281	536	379	519	833	1379	2276	1714	5862	10250	11000	11467	31250	16214	5346	10897	25286	17429	14207	20862	55040	130375	160525	75946	26795	26095	26731	5469	727	409	161	373
234	152	158	324	353	333	188	138	367	310	429	500	1533	2786	3200	2767	4333	15267	18655	30759	133577	54741	6414	8143	18667	43036	53000	131690	184962	109750	130579	72811	52578	75591	56480	25065	4750	1087	294	297
215	250	158	281	324	171	364	345	333	714	533	1038	1600	2571	2267	2483	2846	4345	5862	11179	50964	19759	3259	6536	8429	12786	63143	163862	243286	94818	95707	66486	115721	145909	114760	51000	22146	5143	589	227
270	255	211	171	353	429	200	200	276	345	1179	1654	2344	2034	3214	3000	1893	3600	6643	7519	5250	1483	556	1000	586	2148	11179	29767	46346	45167	96211	307368	176244	134957	84125	86581	44375	13837	2925	391
188	170	211	194	152	250	303	207	516	429	1536	2185	2438	2778	2621	2607	1793	2259	1379	828	724	593	379	310	607	679	1071	4690	7269	27714	38205	39838	65022	81952	83125	70941	49875	20341	6145	1185
219	311	359	229	273	176	500	267	844	1207	3500	3767	3393	2929	2167	2714	1857	1286	593	433	370	429	571	481	517	310	414	964	2500	6571	10684	37081	63727	67190	90538	80121	55154	19356	6426	1239
159	317	390	147	182	206	188	333	633	1793	2897	3607	3767	3250	1548	2143	1000	586	548	536	481	414	321	808	586	571	310	429	667	1643	4949	18135	75907	166522	143720	54848	38900	25000	11339	1462
161	333	385	303	257	212	323	516	1033	2483	5000	4148	4067	3167	1966	1276	370	433	517	1231	3966	4759	8222	1885	2667	2897	1750	1167	375	800	1800	4686	19523	40636	49704	37906	30150	16478	5273	1606
303	298	237	278	324	212	394	733	2000	2862	6286	7276	6143	3433	2300	1154	517	643	828	1786	6733	55724	68654	18310	3133	5464	5500	931	560	667	575	2811	3932	15682	30077	47812	55000	21957	5407	1739
375	286	351	200	294	375	344	710	2419	7407	7929	9750	5968	3310	2345	931	778	414	759	1828	9643	66037	116667	26214	3793	3000	1862	828	462	929	333	824	1909	3955	18192	27781	23026	14311	5151	2708
258	340	216	265	389	387	625	806	3000	5107	8321	9963	9452	4714	2621	1586	444	429	1241	2733	7481	30621	43963	25111	10750	7179	7167	2690	769	571	525	757	1386	4391	10577	13969	14800	8500	4000	2288
200	267	375	333	147	182	545	900	3552	6517	8071	13179	16414	8633	3933	1185	929	800	1897	2897	9714	8862	35786	103444	105966	18630	2172	1966	750	733	452	382	698	1318	5192	8265	8975	6065	4589	2130
288	370	282	371	294	371	581	2533	9429	13161	21519	23923	22194	13567	5500	1926	519	300	2000	4179	13467	5759	16840	122250	163600	34148	16207	3586	1385	417	289	487	558	1348	3000	9469	9436	9545	6151	3000
200	267	26	250	286	455	719	1367	7067	13379	20889	24613	29143	25966	14143	3357	630	433	929	2071	5931	5536	12769	31310	31250	57037	43966	55067	26240	2062	359	257	864	2087	7640	9697	11512	11125	2786	1438
182	244	350	171	147	303	806	1500	4968	14500	19107	22750	40267	39448	16000	4357	808	321	667	1467	4143	6107	23714	18345	15857	21000	52931	117069	28087	5357	390	361	762	2565	5462	7406	4167	4809	2404	1727
203	391	225	257	212	182	875	1516	6800	13929	28393	46567	42241	42690	22893	8367	1556	519	452	1000	2250	5704	25321	128321	196414	51483	14567	9111	2250	588	317	528	854	1174	5769	4029	2738	2600	2038	1186
277	152	231	371	324	333	697	2387	11483	48393	110516	120593	71429	53897	34867	22517	4321	862	484	577	1138	3250	6037	55821	46037	10172	1607	759	680	714	410	806	1023	1696	3680	4030	2317	2356	1444	815
258	261	250	286	171	171	871	2656	5207	30367	101607	85207	57857	73517	87200	44222	30357	7172	750	536	621	679	1962	7821	4935	964	357	464	625	600	1075	1784	3091	4727	3038	3094	3561	4298	1830	523
179	295	146	189	333	303	500	1767	6800	26179	73179	81552	125800	127481	118034	270778	179500	29321	3567	800	345	310	560	966	571	571	571	400	640	1077	2700	6750	13068	7000	3208	4121	5875	12978	3192	723
318	191	333	545	441	265	774	1806	8567	12759	66250	125069	120345	123071	192690	369581	180192	68893	28071	5586	1222	467	393	444	643	552	733	667	2040	2733	5475	16083	22302	11773	8500	8727	11590	6500	1926	471
254	298	237	343	273	147	344	290	1862	7133	26929	49185	62552	97833	139357	185889	109393	166185	77710	14321	3296	2172	1370	1071	433	296	1483	2724	7120	12875	22756	13618	21636	24227	14720	14742	28268	5767	1241	231
231	234	289	314	353	294	97	406	214	2069	4621	13179	22464	54733	97400	107931	61308	73833	287000	122250	18741	15690	16074	9655	7931	3815	2429	4448	7654	34231	51300	63333	26250	18435	11250	17182	10205	2295	321	297
234	178	225	400	212	273	182	276	467	467	929	3000	9379	29793	69533	86179	60857	115690	262633	59074	38400	51536	35920	46821	34172	15393	6300	4207	9400	27643	41400	25973	17163	10364	6000	3156	1463	442	283	254
302	188	200	257	353	182	387	367	433	483	679	821	3033	84966	28857	43786	46481	87750	89867	32533	53333	28643	30885	40138	28143	16679	11931	13167	17348	11214	23143	10382	5465	4864	3192	1941	366	452	327	239
354	196	211	250	156	194	333	212	233	138	346	806	1103	3607	9621	19103	34407	44571	28897	38552	30148	36519	25621	14393	9889	18862	27645	23929	35318	26056	8814	5660	8100	2409	889	294	300	182	389	203
197	167	211	143	152	242	188	233	233	310	276	250	393	1310	1793	4786	15370	14607	36032	26500	19481	38500	21667	7179	8897	15793	56786	39429	16808	17154	14725	13743	7867	1500	500	375	390	200	269	227
